Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-17 08:51:54,2022-02-17 08:56:54,4m - 59.251s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-17 08:51:57,2022-02-17 08:53:21,1m - 23.211s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-17 08:51:59,2022-02-17 08:52:26,27.182s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-17 08:52:26,2022-02-17 08:52:33,6.765s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-17 08:52:33,2022-02-17 08:52:35,2.023s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-17 08:52:35,2022-02-17 08:53:05,30.393s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-17 08:53:05,2022-02-17 08:53:20,14.426s,PASSED
closeApplication(),,,,2022-02-17 08:53:20,2022-02-17 08:53:21,0.896s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-17 08:53:21,2022-02-17 08:54:49,1m - 27.830s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-17 08:53:21,2022-02-17 08:53:39,18.589s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-17 08:53:39,2022-02-17 08:53:44,4.798s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-17 08:53:44,2022-02-17 08:53:46,2.019s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-17 08:53:46,2022-02-17 08:54:32,45.470s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-17 08:54:32,2022-02-17 08:54:48,16.145s,PASSED
closeApplication(),,,,2022-02-17 08:54:48,2022-02-17 08:54:49,0.736s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-17 08:54:49,2022-02-17 08:56:54,2m - 4.896s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-17 08:54:49,2022-02-17 08:55:07,18.657s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-17 08:55:07,2022-02-17 08:55:13,5.989s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-17 08:55:13,2022-02-17 08:55:15,2.005s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-17 08:55:15,2022-02-17 08:56:33,1m - 17.936s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-17 08:56:33,2022-02-17 08:56:53,19.637s,PASSED
closeApplication(),,,,2022-02-17 08:56:53,2022-02-17 08:56:54,0.657s,PASSED
